description,amount,date,category
Wallet Trx 7510506097630 MUTTRAH SOUQ TOUR,-24.93,2026-03-09,Entertainment and Leisure
BMOMONTHLYFEEPAYMENT,-270.08,2026-02-19,Bank Charges
CluttonsOmanStore#597,-487.97,2026-03-20,Rent Payments
POS 937405-HALIFAX WATER - 757 P O BOX 99,-99.39,2025-12-24,Housing and Utilities
www.cmlsmortgagecanada.com,-19775.23,2026-03-17,Loan Payments
HOME CENTRE OMAN#6009,-428.3,2025-12-04,Home Goods and Furniture
IHOP CANADA SERVICE CHARGE,-144.87,2026-03-24,Dining and Cafes
Hale Coffee Toronto - payment,-42.66,2026-05-26,Dining and Cafes
POS FLAIR AIRLINES CANADA **9444,-4284.56,2025-12-10,Travel and Hotels
Canada Savings Bond - payment,-434.29,2026-02-11,Savings and Investments
DISNEYPLUSCANADA#5619,-35.67,2026-03-21,Entertainment and Leisure
CODEABLE INCOME#8245,4510.12,2026-03-28,Business or Freelance Income
www.omansocialinsurance.com,445.57,2026-02-28,Government Support and Pensions
ESPRIT OMAN CARD*4859,-8.36,2026-03-03,Shopping & Retail
NSPOW_66,-118.98,2026-02-01,Housing and Utilities
E-TRANSFER ST. CLAIR COLLEGE,-10699.92,2026-05-22,Education
emerald bay homes payment,-1371.32,2025-11-08,Rent Payments
NATIONALBANKOFOMANSAVINGS*2211,-1591.45,2026-04-10,Savings and Investments
MASTERCARDYOUTUBEPREMIUMCANADA*4511,-65.82,2026-04-24,Entertainment and Leisure
Surex Canada - payment,-742.61,2026-02-03,Insurance
TRIVAGO CANADA *6395,-1836.07,2025-11-06,Travel and Hotels
Al Aman Charity Oman Trnsfr,6844.34,2026-11-30,Charity Donations
MANULIFEINVESTMENTSCANADASAOG,-865.15,2025-12-19,Savings and Investments
INTERAC PIMCO CANADA SEEB,-933.04,2026-02-08,Savings and Investments
ATMCashWithdrwEtsyPayout76687806:28:54,3037.89,2026-12-29,Business or Freelance Income
WalletTrx5654688210239ALSEEBMALLSHOPS,-74.17,2026-03-10,Shopping & Retail
Rbc Monthly Service Fee Store #832,-25.06,2025-11-19,Bank Charges
BCINCOMEASSISTANCEPOSBARRIE,871.01,2026-12-28,Government Support and Pensions
PAYMENTTODIALOGUEHEALTHCANADAFORNovember2020,-4604.84,2026-01-08,Medical and Health
